iter	Logloss
0	0.6880422881
1	0.6825280854
2	0.676646932
3	0.6711712462
4	0.6656128854
5	0.6594667839
6	0.6549732093
7	0.6502940785
8	0.6447862105
9	0.6401535034
10	0.6359708844
11	0.6305662213
12	0.626118608
13	0.6211487741
14	0.6167228005
15	0.6125125307
16	0.6083375873
17	0.6045785153
18	0.601359142
19	0.5969710841
20	0.5938721628
21	0.5909399322
22	0.5872750022
23	0.5834337177
24	0.5810426192
25	0.5776954882
26	0.5744870735
27	0.5715665413
28	0.5680592855
29	0.5649498679
30	0.5604556459
31	0.5568230831
32	0.5535505353
33	0.5510209517
34	0.5480081269
35	0.5451021137
36	0.5419381806
37	0.5389167554
38	0.5355945934
39	0.5324184996
40	0.5299411658
41	0.5274246216
42	0.5247972431
43	0.5219003851
44	0.5198340214
45	0.5170518355
46	0.5142994274
47	0.5119211833
48	0.5098474214
49	0.5085490834
50	0.5064459598
51	0.5052227598
52	0.502857555
53	0.5001806086
54	0.4981465195
55	0.4963225856
56	0.4940467603
57	0.4922523267
58	0.4898537376
59	0.4878597375
60	0.4855764216
61	0.4835098729
62	0.4815270626
63	0.4800194943
64	0.4785736546
65	0.4764386726
66	0.474749201
67	0.4733108058
68	0.4719093554
69	0.4696365819
70	0.4683703336
71	0.4668592048
72	0.4654637655
73	0.4641434178
74	0.4622790712
75	0.4608572295
76	0.4592634259
77	0.4572470925
78	0.4561526212
79	0.4542999268
80	0.45347438
81	0.4522498391
82	0.4512852524
83	0.4503380053
84	0.4488177213
85	0.4480157563
86	0.4461363821
87	0.445100634
88	0.4437882395
89	0.4427648371
90	0.4420879942
91	0.4416443796
92	0.4403731837
93	0.4393953266
94	0.4379842122
95	0.4363308993
96	0.4356329716
97	0.4342532071
98	0.433384011
99	0.4317121101
