iter	Passed	Remaining
0	3	382
1	7	355
2	11	374
3	18	451
4	22	423
5	26	412
6	31	418
7	35	408
8	39	398
9	42	385
10	48	395
11	52	387
12	56	376
13	59	366
14	66	374
15	69	366
16	73	357
17	78	357
18	83	354
19	86	347
20	90	339
21	95	337
22	98	331
23	102	324
24	104	314
25	110	315
26	114	309
27	117	303
28	121	297
29	127	298
30	131	292
31	134	286
32	138	281
33	145	283
34	149	277
35	152	271
36	159	271
37	163	265
38	166	260
39	169	254
40	175	251
41	179	248
42	183	243
43	187	238
44	190	232
45	193	227
46	197	222
47	200	217
48	206	215
49	209	209
50	213	204
51	216	199
52	222	197
53	226	192
54	229	187
55	232	183
56	239	180
57	242	175
58	246	171
59	251	167
60	255	163
61	261	160
62	266	156
63	271	152
64	275	148
65	278	143
66	284	139
67	288	135
68	292	131
69	296	127
70	304	124
71	310	120
72	317	117
73	322	113
74	325	108
75	334	105
76	340	101
77	343	96
78	349	92
79	353	88
80	356	83
81	360	79
82	365	74
83	370	70
84	373	65
85	376	61
86	381	57
87	385	52
88	388	48
89	396	44
90	400	39
91	403	35
92	407	30
93	413	26
94	417	21
95	421	17
96	426	13
97	430	8
98	434	4
99	437	0
