iter	Logloss
0	0.6878601571
1	0.6818827813
2	0.6755149421
3	0.6702032309
4	0.6651695836
5	0.6589639176
6	0.6539738174
7	0.6493542728
8	0.6445573604
9	0.6387354955
10	0.6342107789
11	0.6297048864
12	0.624889155
13	0.6216470376
14	0.6167686289
15	0.6132711136
16	0.6089467316
17	0.6048984673
18	0.600581816
19	0.5975410587
20	0.5937919282
21	0.5903084616
22	0.5868008556
23	0.5828390905
24	0.578842653
25	0.575253866
26	0.5717713443
27	0.5687504367
28	0.5656964899
29	0.5636522304
30	0.5605336613
31	0.5571341728
32	0.5552900363
33	0.5515267201
34	0.548793958
35	0.5458749404
36	0.5430204035
37	0.5401680989
38	0.5381758867
39	0.5359885205
40	0.5328178173
41	0.5302399223
42	0.5273335247
43	0.5246459516
44	0.5217616736
45	0.5196012677
46	0.5171780105
47	0.5149716709
48	0.5129441867
49	0.5118040453
50	0.5098511835
51	0.5081305106
52	0.5059252119
53	0.5037921843
54	0.502317598
55	0.5000595268
56	0.4980675544
57	0.4966180512
58	0.4950305263
59	0.4931966626
60	0.4914511148
61	0.4899027163
62	0.4879319436
63	0.4861701304
64	0.4845489126
65	0.4829982808
66	0.4812985806
67	0.4799610241
68	0.4785339126
69	0.4767692586
70	0.4751419845
71	0.4735734368
72	0.4724810935
73	0.4709962561
74	0.4699342511
75	0.4683561611
76	0.4668621987
77	0.4657099892
78	0.4643169051
79	0.4628140242
80	0.4613988059
81	0.4600921063
82	0.4588385729
83	0.4578240314
84	0.4561363711
85	0.4546914194
86	0.4534520356
87	0.4524532097
88	0.4515964122
89	0.4501888441
90	0.4488082318
91	0.4475542856
92	0.4466149478
93	0.4454720159
94	0.4440478964
95	0.4430342293
96	0.4417211441
97	0.4407063076
98	0.4401161612
99	0.439125758
