iter	Passed	Remaining
0	173	17137
1	192	9447
2	206	6678
3	217	5218
4	229	4368
5	236	3705
6	242	3227
7	249	2867
8	255	2587
9	261	2351
10	266	2155
11	271	1991
12	276	1851
13	281	1730
14	286	1626
15	292	1536
16	297	1454
17	303	1382
18	308	1315
19	312	1251
20	317	1196
21	323	1145
22	328	1099
23	333	1057
24	338	1016
25	344	980
26	350	946
27	355	913
28	360	882
29	364	850
30	369	822
31	374	796
32	379	769
33	384	745
34	389	724
35	395	702
36	400	681
37	405	661
38	409	640
39	414	622
40	420	604
41	425	587
42	430	570
43	436	555
44	441	539
45	446	524
46	452	509
47	457	495
48	462	481
49	467	467
50	472	453
51	477	440
52	483	428
53	488	416
54	494	404
55	499	392
56	504	380
57	509	369
58	516	359
59	521	347
60	527	337
61	532	326
62	537	315
63	543	305
64	548	295
65	553	285
66	558	275
67	564	265
68	569	255
69	574	246
70	579	236
71	585	227
72	590	218
73	595	209
74	600	200
75	605	191
76	610	182
77	616	173
78	621	165
79	626	156
80	631	148
81	636	139
82	641	131
83	646	123
84	651	115
85	656	106
86	661	98
87	666	90
88	672	83
89	677	75
90	682	67
91	687	59
92	692	52
93	698	44
94	703	37
95	708	29
96	713	22
97	718	14
98	723	7
99	735	0
